Category | Count | Definition
Corrections | 51 | Interaction with the text that primarily comprises of editing the contents
Graphical Reading Systems | 103 | Symbols which denote active reading
Text Interaction | 31 | Commentary on the text or about it
Mathematics | 7 | Math equations
Numbers | 131 | Numeric marginalia with no clear link to archival purposes
Marks of Ownership | 60 | Names or initials
Archival Traces | 3736 | Notes clearly denoting the archival life of the chapbook prior to digitization
Inserted Notes | 2 | Notes inserted into chapbooks
Pen Trials | 7 | Scribbles or letters which serve to test the writing tool
Uncertain | 111 | Primarily marginalia which is illegible due to ink, fading, font etc
